firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Agrargenossenschaft Weißensee e.G.,Straußfurter Straße 3,99631,Weißensee,POINT (51.1901093 11.063332526706137),036374-2650,> 2000,< 50,< 50,,,,,,,
Erzeuger- und Handels-AG LAPROMA Schloßvippach,Weimarische Straße 33,99195,Schloßvippach,POINT (51.1043709 11.1430362),036371-551-0,> 2000,,< 100,,,,,,,
Geratal Agrar GmbH &amp; Co. KG,Gebeseer Straße 40,99189,Andisleben,POINT (51.0836783 10.9276066),0362015270,,,,,,,,,,
Amberg &amp; Rothe Agrarhof GmbH,Großrudestedter Straße 2,99195,Alperstedt,POINT (51.0961783 11.0508357),03620452066,,,,,,,,,,
Agrar eG Guthmannshausen,Schulgasse 178d,99628,Guthmannshausen,POINT (51.1369111 11.3678295),0363739930,,,,,,,,,,
Agrargesellschaft Elxleben mbH,Gerhart-Hauptmann -Straße 1b,99189,Elxleben,POINT (51.0464917 10.9452758),0362017052,,,,,,,,,,
LEAG Agrar AG Leubingen,Kölledaer Straße 23,99610,Leubingen,POINT (51.2016515 11.15803073894644),03634692060,,,,,,,,,,
Agrar Töttelstädt GmbH,Erfurter Tor 3,99100,Töttelstädt,POINT (51.0078118 10.8850362),036208-7540,,,,,,,,,,
Agrargenossenschaft Udestedt eG,Siedlung 1,99198,Udestedt,POINT (51.0532302 11.1289812),036203-50171,,,,,,,,,,
Agrargenossenschaft Kerspleben e.G.,Hauptstraße 69 b,99198,Großmölsen,POINT (51.0249731 11.137742),036203-90811,,,,,,,,,,
Landwirtschaftliche Erzeugergesellschaft mbH Branchewinda,In Dannheim 34b,99310,Arnstadt,POINT (50.7980493 10.9805818),03628-48179,,,,,,,,,,
SON-Agro GmbH,Gothaer Straße 231,99869,Sonneborn,POINT (50.9908832 10.5913415),03625471203,> 2000,,,< 50,,,,,,
AGRAR eG Münchenbernsdorf,Großbockaer Straße 1,07589,Münchenbernsdorf,POINT (50.8211416 11.9434499),0366048690,> 2000,,< 500,,,,,,,
Agrargenossenschaft Straußfurt eG,Ringelfahrt 1,99634,Straußfurt,POINT (51.1644093 10.9970603),036376-60235,< 2000,,< 50,,< 5,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
"Landwirtschaftliches Zentrum ""Hörseltal"" eG Mechterstädt",Hinter den Höfen 9a,99880,Hörsel ,POINT (50.9396491 10.5245081),03622-904450,,,,,,,,,,
