id;Bundesland;Anlage;Betreiber;380 kV;220 kV;Koordinaten;Baujahr;Bemerkungen
BW1;Baden-Württemberg;Altbach 1;TransnetBW;x;;48.719151, 9.371;;
BW2;Baden-Württemberg;Altlußheim;TransnetBW;;x;49.293889, 8.511944;;
BW3;Baden-Württemberg;Bad Friedrichshall;TransnetBW;;;49.22818, 9.20259;;
BW4;Baden-Württemberg;Bad Mergentheim;TransnetBW;;;49.4743, 9.7725;;
BW5;Baden-Württemberg;Bestenheid;TransnetBW;;;49.7804, 9.4828;;
BW6;Baden-Württemberg;Beuren;TransnetBW;;x;47.806111, 8.861111;;
BW7;Baden-Württemberg;Birkenfeld;TransnetBW;;x;48.89, 8.641389;;Pforzheim-Arlinger
BW8;Baden-Württemberg;Bruchsal-Kändelweg;TransnetBW;x;;49.133083, 8.561597;;
BW9;Baden-Württemberg;Bühl;TransnetBW;;x;48.705278, 8.120556;;
BW10;Baden-Württemberg;Bünzwangen;TransnetBW;x;;48.701389, 9.5625;;
BW11;Baden-Württemberg;Daxlanden;"Amprion; TransnetBW";x;x;49.008889, 8.313611;;In der Nähe zum Rheinhafen-Dampfkraftwerk Karlsruhe. Anlage wird bis Mitte 2029 durch Siemens einem Retrofit unterzogen.[1] TransnetBW investiert mehr als 100 Millionen Euro.
BW12;Baden-Württemberg;Dellmensingen;TransnetBW;x;x;48.304167, 9.885833;;
BW13;Baden-Württemberg;Eberbach;TransnetBW;;;49.4599, 8.9954;;
BW14;Baden-Württemberg;Eichstetten 1;TransnetBW;x;;48.099167, 7.753333;;
BW15;Baden-Württemberg;Eichstetten 2;TransnetBW;;x;48.096111, 7.751667;;
BW16;Baden-Württemberg;Endersbach;TransnetBW;x;;48.8125, 9.3775;;
BW17;Baden-Württemberg;Engstlatt;TransnetBW;x;;48.310278, 8.8725;;
BW18;Baden-Württemberg;Goldshöfe;TransnetBW;x;x;48.896944, 10.116389;;
BW19;Baden-Württemberg;Großgartach;TransnetBW;x;x;49.143611, 9.150833;;
BW20;Baden-Württemberg;Grünkraut;TransnetBW;x;;47.744722, 9.645;;
BW21;Baden-Württemberg;Gurtweil;TransnetBW;;x;47.64, 8.251944;;EnBW
BW22;Baden-Württemberg;Heilbronn;TransnetBW;x;x;49.1805, 9.2079;;
BW23;Baden-Württemberg;Herbertingen;TransnetBW;x;;48.064167, 9.425556;;
BW24;Baden-Württemberg;Hoheneck 1;Amprion;x;x;48.914373, 9.190595;;
BW25;Baden-Württemberg;Hoheneck 2;TransnetBW;;x;48.913333, 9.195278;;
BW26;Baden-Württemberg;Höpfingen;TransnetBW;x;;49.59, 9.446667;;
BW27;Baden-Württemberg;Hüffenhardt;TransnetBW;;x;49.295, 9.091111;;
BW28;Baden-Württemberg;Ingelfingen;TransnetBW;;;49.2935, 9.6652;;
BW29;Baden-Württemberg;Karlsruhe-Durlach;TransnetBW;;x;48.985833, 8.445278;;
BW30;Baden-Württemberg;Karlsruhe-West;TransnetBW;;x;49.013056, 8.348889;;
BW31;Baden-Württemberg;Karlsruhe-Rintheim;TransnetBW;;x;49.006944, 8.451667;;
BW32;Baden-Württemberg;Königshofen;TransnetBW;;;49.558, 9.7243;;
BW33;Baden-Württemberg;Kupferzell;TransnetBW;x;x;49.232222, 9.694722;;
BW34;Baden-Württemberg;Kuppenheim;TransnetBW;;x;48.846111, 8.248889;;
BW35;Baden-Württemberg;Kühmoos;"Amprion; TransnetBW";x;x;47.595833, 7.9575;;
BW36;Baden-Württemberg;Laichingen;TransnetBW;x;;48.464722, 9.704167;;
BW37;Baden-Württemberg;Leimen;TransnetBW;;x;49.36, 8.663611;;
BW38;Baden-Württemberg;Mannheim-Rheinau;Amprion;x;x;49.439722, 8.546667;;"380-kV-Anschluss seit 2019; benachbarte Forschungsgemeinschaft für elektrische Anlagen und Stromwirtschaft"
BW39;Baden-Württemberg;Metzingen;TransnetBW;x;;48.549722, 9.274722;;
BW40;Baden-Württemberg;Mudau;TransnetBW;;;49.54306, 9.20894;;mit Kompensationsanlagen
BW41;Baden-Württemberg;Mühlhausen (Stuttgart);TransnetBW;x;;48.8525, 9.214722;;
BW42;Baden-Württemberg;Neckargartach;TransnetBW;;x;49.143333, 9.143056;;
BW43;Baden-Württemberg;Neckarwestheim;TransnetBW;;x;49.041944, 9.205278;;Schaltwerk
BW44;Baden-Württemberg;Neurott;TransnetBW;x;;49.356667, 8.623056;;
BW45;Baden-Württemberg;Niederstetten;TransnetBW;;;49.4063, 9.9168;;
BW46;Baden-Württemberg;Niederstotzingen;TransnetBW;x;;48.53, 10.232222;;
BW47;Baden-Württemberg;Oberjettingen;TransnetBW;x;;48.583611, 8.785833;;
BW48;Baden-Württemberg;Obermooweiler;TransnetBW;x;;47.6525, 9.801667;;
BW49;Baden-Württemberg;Obrigheim;TransnetBW;;;49.3629, 9.0761;;
BW50;Baden-Württemberg;Osterburken;TransnetBW;;;49.41736, 9.42787;;
BW51;Baden-Württemberg;Philippsburg;TransnetBW;x;;49.251389, 8.440833;;
BW52;Baden-Württemberg;Pulverdingen;TransnetBW;x;x;48.902778, 9.045833;;
BW53;Baden-Württemberg;Rotensohl;TransnetBW;x;;48.736667, 10.222222;;
BW54;Baden-Württemberg;Schweigern;TransnetBW;;;49.4807, 9.6705;;
BW55;Baden-Württemberg;Schwörstadt;TransnetBW;x;;47.586111, 7.838889;;
BW56;Baden-Württemberg;Stockach;TransnetBW;;x;47.844444, 9.012778;;
